Designator,Mid X,Mid Y,Layer,Rotation
3.5mmjack1,102.65,-78.86,top,-90
Amplifier1,88.59,-82.425,top,180
AnalogLDO1,94.47,-102.37,top,-90
C1,80.45,-90.65,top,90
C2,79.66,-82.81,top,-90
C3,81.17,-82.79,top,-90
C4,79.07,-93.1,top,0
C5,79.08,-94.63,top,0
C6,80.78,-87.595,top,-90
C7,71.675,-91.69,top,180
C8,70.97,-89.21,top,90
C9,75,-82.33,top,-90
C10,76.54,-80.61,top,90
C11,86.14,-100.92,top,0
C12,86.14,-102.48,top,0
C13,93.18,-104.85,top,0
C14,92.31,-99.77,top,0
C15,86.4,-95.22,top,180
C16,86.33,-97.1,top,0
C17,88.91,-92.75,top,-90
C18,95.83,-112.37,top,0
C19,87.69,-106.65,top,180
C20,98.17,-110.76,top,90
C21,94.84,-93.43,top,-90
C22,98.35,-93.455,top,-90
C23,105,-99.125,top,0
C24,95.75,-90.77,top,0
C25,89.84,-98.525,top,-90
C26,69.83,-83.485,top,90
C27,70.23,-80.405,top,90
C28,92.3,-98.22,top,0
Card_Reader1,62.65,-84.405,top,-90
ChargerIC1,92.85,-108.265,top,90
D1,100.13,-101.305,top,90
D2,82.68,-93.415,top,90
DAC1,75.65,-87.605,top,90
DigitalLDO1,89.53,-102.145,top,0
DualMosfet1,105.57,-109.36,top,0
FPC1,79.94,-70.34,top,180
L1,100.63,-69.42,top,180
L2,104.03,-91.76,top,90
L4,58.07,-68.02,top,0
N-channel1,69.01,-74.43,top,180
ProtectionIC1,101.07,-109.3525,top,180
R1,86.22,-93.475,top,0
R2,86.08,-91.505,top,0
R3,92.49,-112.175,top,0
R4,102.15,-106.515,top,180
R5,97.99,-107.11,top,90
R6,92.35,-91.3,top,180
R7,96.6,-93.24,top,-90
R8,95.06,-97.37,top,-90
R9,97.24,-96.72,top,90
R10,103.44,-85.115,top,180
R11,91.19,-89.335,top,180
R12,91.68,-75.125,top,0
R13,86.11,-104.47,top,0
R14,97.14,-103.655,top,-90
R15,67.81,-104.22,top,0
R16,64.38,-104.26,top,180
R17,72.81,-73.52,top,180
R18,72.5,-82.975,top,0
R19,73.1,-79.79,top,0
R20,72.41,-77.83,top,0
R21,88.23,-75.125,top,0
R22,87.62,-89.325,top,0
R23,74.36,-107.905,top,-90
R24,65.87,-96.32,top,-90
R25,81.56,-105.315,top,180
SW2,72.73,-101.745,top,90
SW3,61.4,-99.125,top,-90
SplitRegulator1,91.99,-94.145,top,90
U2,66.23,-110.09,top,180
USB1,83.82,-110.375,top,0
